Date,Year,Month,Rain,Max_T.,Min_T.,Cloud,Releted Hum.,Sea Level P.,Wind
2007-01-06,2007,1,0.0,22.1,12.8,1.0,85.0,1016.8,2.5
2008-01-06,2008,1,0.0,26.5,14.4,0.0,62.0,1016.3,3.0
2009-01-06,2009,1,0.0,25.7,14.9,3.0,73.0,1014.2,2.0
2010-01-06,2010,1,0.0,23.2,10.5,0.0,84.0,1013.5,3.0
2011-01-06,2011,1,0.0,24.2,13.4,0.0,69.0,1012.5,3.0
2012-01-06,2012,1,0.0,23.5,16.3,7.0,69.0,1016.1,2.5
2013-01-06,2013,1,0.0,23.7,12.0,1.0,53.0,1013.0,2.0
2014-01-06,2014,1,0.0,20.4,13.6,4.0,84.0,1014.6,0.0
2015-01-06,2015,1,0.0,24.3,13.2,1.0,64.0,1013.9,2.5
2016-01-06,2016,1,0.0,26.0,15.8,0.0,64.0,1016.5,2.0
2017-01-06,2017,1,0.0,23.6,14.5,0.0,81.0,1012.6,2.0
1988-01-07,1988,1,0.0,27.4,15.6,1.0,76.0,1014.9,0.0
1989-01-07,1989,1,0.0,26.8,13.1,0.0,77.0,1013.2,0.0
1990-01-07,1990,1,0.0,24.9,12.6,0.0,70.0,1017.3,2.0
1991-01-07,1991,1,0.0,24.2,13.4,2.0,65.0,1015.8,2.0
1992-01-07,1992,1,0.0,23.2,11.5,0.0,73.0,1015.4,5.0
1993-01-07,1993,1,0.0,27.2,14.6,0.0,70.0,1013.7,4.0
1994-01-07,1994,1,0.0,26.0,12.0,0.0,72.0,1015.9,4.0
1995-01-07,1995,1,0.0,27.5,13.8,4.0,67.0,1018.6,3.0
1996-01-07,1996,1,0.0,26.5,12.6,1.0,76.0,1016.3,2.0
1997-01-07,1997,1,0.0,26.5,11.7,1.0,71.0,1017.9,1.0
1998-01-07,1998,1,0.0,15.5,10.0,8.0,91.0,1017.9,2.0
1999-01-07,1999,1,0.0,26.3,16.4,5.0,75.0,1011.7,0.0
2000-01-07,2000,1,0.0,19.6,10.2,0.0,83.0,1014.4,1.0
2001-01-07,2001,1,0.0,22.6,10.7,1.0,74.0,1014.2,1.0
2002-01-07,2002,1,0.0,25.8,16.0,4.0,71.0,1017.5,1.0
2003-01-07,2003,1,0.0,17.8,12.0,4.0,89.0,1017.5,3.8
2004-01-07,2004,1,0.0,25.2,12.7,3.0,72.0,1016.6,2.0
2005-01-07,2005,1,0.0,25.6,16.2,0.0,63.0,1014.5,8.0
2006-01-07,2006,1,0.0,24.4,14.0,3.0,78.0,1014.3,3.8
2007-01-07,2007,1,0.0,18.9,12.0,2.0,92.0,1015.9,3.0
2008-01-07,2008,1,0.0,26.3,15.5,1.0,65.0,1016.0,3.3
2009-01-07,2009,1,0.0,26.4,15.7,0.0,67.0,1016.3,3.0
2010-01-07,2010,1,0.0,25.6,11.7,0.0,77.0,1014.7,2.0
2011-01-07,2011,1,0.0,24.6,13.2,0.0,75.0,1012.3,2.6
2012-01-07,2012,1,1.0,24.0,17.0,6.0,69.0,1017.5,2.0
2013-01-07,2013,1,0.0,21.3,14.8,3.0,59.0,1013.7,2.0
2014-01-07,2014,1,0.0,22.7,12.0,1.0,77.0,1016.3,2.0
2015-01-07,2015,1,0.0,22.5,13.0,0.0,69.0,1013.7,2.0
2016-01-07,2016,1,0.0,26.6,14.6,1.0,68.0,1016.5,2.0
2017-01-07,2017,1,0.0,26.0,14.0,0.0,73.0,1011.2,2.0
1988-01-08,1988,1,0.0,26.8,14.0,0.0,78.0,1016.2,0.0
1989-01-08,1989,1,0.0,26.9,15.0,0.0,76.0,1013.7,4.7
1990-01-08,1990,1,0.0,24.1,12.2,0.0,69.0,1017.4,2.0
1991-01-08,1991,1,0.0,24.5,13.5,1.0,72.0,1015.4,2.0
