Year,Month,Day,Rain,Max_T.,Min_T.,Cloud,Releted Hum.,Sea Level P.,Wind
2017,3,1,0.0,31.5,17.4,0,52.0,1010.9,2.0
1988,3,2,38.0,29.2,19.2,5,75.0,1010.3,2.0
1989,3,2,0.0,33.7,18.4,0,56.0,1009.4,3.5
1990,3,2,3.0,27.7,21.0,7,75.0,1009.0,3.5
1991,3,2,0.0,29.6,20.6,3,78.0,1014.4,2.0
1992,3,2,0.0,30.1,21.4,1,59.0,1009.9,7.0
1993,3,2,0.0,27.5,17.3,0,59.0,1016.6,3.7
1994,3,2,0.0,29.6,14.0,0,53.0,1014.2,2.0
1995,3,2,0.0,30.5,18.0,0,60.0,1012.6,0.0
1996,3,2,0.0,32.2,16.3,3,61.0,1011.4,2.0
1997,3,2,0.0,32.0,19.4,0,68.0,1012.8,2.0
1998,3,2,0.0,28.6,14.0,0,58.0,1014.7,2.0
1999,3,2,0.0,30.9,16.3,0,53.0,1011.4,2.0
2000,3,2,0.0,29.4,22.4,4,70.0,1008.9,1.5
2001,3,2,0.0,31.0,21.0,1,57.0,1014.9,4.0
2002,3,2,0.0,32.0,18.8,1,55.0,1011.7,2.7
2003,3,2,0.0,32.4,22.3,1,66.0,1009.5,4.0
2004,3,2,0.0,31.8,20.7,0,42.0,1009.3,2.0
2005,3,2,0.0,34.1,21.6,0,56.0,1012.2,5.5
2006,3,2,0.0,31.5,21.2,5,54.0,1011.0,6.0
2007,3,2,9.0,22.4,18.2,6,89.0,1011.5,2.0
2008,3,2,0.0,30.1,18.7,3,72.0,1011.7,3.0
2009,3,2,0.0,31.6,15.8,0,39.0,1009.2,2.0
2010,3,2,0.0,33.4,22.0,1,65.0,1008.3,2.0
2011,3,2,0.0,31.3,18.7,0,46.0,1010.1,2.0
2012,3,2,0.0,30.8,21.8,0,53.0,1005.0,2.0
2013,3,2,0.0,30.3,16.7,0,44.0,1012.6,2.3
2014,3,2,0.0,29.2,18.2,3,59.0,1013.6,2.8
2015,3,2,0.0,32.9,21.7,2,59.0,1012.3,6.0
2016,3,2,0.0,32.4,21.4,1,59.0,1014.8,2.0
2017,3,2,0.0,33.2,18.0,0,54.0,1009.0,2.0
1988,3,3,0.0,30.2,17.5,5,62.0,1012.1,2.0
1989,3,3,0.0,31.8,16.7,0,49.0,1010.2,3.5
1990,3,3,3.0,24.6,19.2,6,61.0,1010.9,5.0
1991,3,3,2.0,30.2,19.7,0,59.0,1014.1,0.0
1992,3,3,0.0,29.0,18.7,1,44.0,1009.5,3.7
1993,3,3,0.0,31.0,16.6,0,59.0,1016.3,5.0
1994,3,3,0.0,29.8,14.2,0,54.0,1013.9,2.0
1995,3,3,0.0,30.6,17.7,0,53.0,1012.0,2.5
1996,3,3,0.0,33.0,17.4,1,61.0,1012.3,1.5
1997,3,3,0.0,32.6,18.7,0,65.0,1013.5,1.3
1998,3,3,0.0,30.0,13.5,1,60.0,1015.1,0.0
1999,3,3,0.0,32.7,15.8,0,53.0,1009.9,2.7
2000,3,3,0.0,30.5,19.7,4,74.0,1009.6,2.3
2001,3,3,0.0,30.7,20.5,2,39.0,1013.5,2.0
2002,3,3,1.0,27.5,18.3,4,77.0,1010.6,2.5
2003,3,3,0.0,34.0,23.8,2,69.0,1007.7,4.0
2004,3,3,0.0,31.0,16.8,0,45.0,1010.0,4.0
2005,3,3,0.0,34.5,23.6,1,49.0,1011.8,4.0
2006,3,3,0.0,29.3,21.7,2,53.0,1011.8,3.0
2007,3,3,1.0,28.0,17.6,1,59.0,1013.3,4.8
2008,3,3,0.0,30.3,21.6,4,74.0,1011.2,2.7
2009,3,3,0.0,31.8,17.7,1,49.0,1008.0,2.0
2010,3,3,0.0,34.3,22.4,3,66.0,1007.0,3.6
2011,3,3,0.0,31.6,17.0,0,51.0,1010.1,2.3
2012,3,3,0.0,31.2,18.8,1,56.0,1005.2,3.0
2013,3,3,0.0,31.0,19.0,0,56.0,1012.1,2.0
2014,3,3,0.0,29.4,18.5,4,55.0,1014.2,2.0
2015,3,3,0.0,30.2,20.3,2,59.0,1010.1,2.5
2016,3,3,0.0,33.0,21.0,3,57.0,1013.4,3.0
2017,3,3,0.0,33.5,21.2,1,65.0,1007.1,2.0
1988,3,4,0.0,29.5,18.4,7,73.0,1011.8,0.0
1989,3,4,0.0,30.8,15.6,0,52.0,1010.0,3.0
1990,3,4,0.0,25.2,16.5,3,76.0,1012.1,2.0
1991,3,4,0.0,30.8,19.0,1,61.0,1012.5,2.0
1992,3,4,0.0,29.7,17.8,0,46.0,1010.3,2.8
1993,3,4,0.0,29.9,15.2,1,61.0,1014.0,5.0
1994,3,4,0.0,30.4,14.4,1,60.0,1012.2,2.5
1995,3,4,0.0,30.8,17.5,2,58.0,1012.1,3.0
1996,3,4,0.0,32.5,17.8,2,62.0,1012.4,1.0
1997,3,4,0.0,35.0,21.6,0,60.0,1013.3,2.7
1998,3,4,0.0,31.0,14.4,0,57.0,1013.3,2.0
1999,3,4,0.0,33.0,15.2,0,55.0,1007.8,2.0
2000,3,4,0.0,30.7,22.5,4,77.0,1010.5,3.1
2001,3,4,0.0,29.6,17.2,2,43.0,1013.6,1.0
2002,3,4,1.0,29.2,19.5,1,62.0,1010.3,2.0
2003,3,4,0.0,33.0,23.2,0,51.0,1007.0,5.5
2004,3,4,0.0,31.0,16.3,0,41.0,1010.1,3.5
2005,3,4,0.0,35.6,21.3,0,59.0,1013.1,4.5
2006,3,4,0.0,32.0,17.8,2,51.0,1011.4,2.7
2007,3,4,0.0,27.8,16.9,0,56.0,1012.2,4.0
2008,3,4,8.0,29.6,16.5,2,62.0,1010.9,2.5
2009,3,4,0.0,31.7,19.4,0,56.0,1006.6,5.0
2010,3,4,0.0,33.0,24.0,4,69.0,1007.3,2.4
2011,3,4,0.0,33.0,18.8,0,46.0,1009.2,2.5
2012,3,4,0.0,32.0,21.2,1,47.0,1007.2,3.3
2013,3,4,0.0,32.0,18.4,0,51.0,1013.3,2.0
2014,3,4,0.0,29.4,19.8,6,46.0,1014.7,3.0
2015,3,4,0.0,26.5,21.0,4,77.0,1011.3,2.5
2016,3,4,0.0,33.5,23.4,0,63.0,1011.4,2.0
2017,3,4,0.0,30.4,22.4,5,68.0,1007.8,2.0
1988,3,5,0.0,30.7,18.6,5,67.0,1010.8,2.0
1989,3,5,0.0,31.7,14.6,0,55.0,1009.5,0.0
1990,3,5,0.0,27.5,15.2,1,67.0,1012.5,0.0
1991,3,5,0.0,31.7,20.5,2,67.0,1011.1,2.0
1992,3,5,0.0,31.4,18.4,0,50.0,1010.8,7.8
1993,3,5,0.0,29.5,16.8,0,62.0,1013.4,3.5
1994,3,5,0.0,32.5,20.0,2,75.0,1009.0,4.0
1995,3,5,0.0,30.0,14.8,0,56.0,1011.5,3.5
1996,3,5,0.0,31.6,19.3,0,63.0,1011.6,1.7
1997,3,5,0.0,33.0,20.5,0,54.0,1014.0,2.0
1998,3,5,0.0,31.7,16.5,2,60.0,1011.3,2.0
1999,3,5,0.0,33.7,15.6,0,54.0,1005.9,2.0
2000,3,5,2.0,30.4,22.7,5,76.0,1009.2,2.3
2001,3,5,0.0,26.8,17.5,4,60.0,1013.2,4.0
2002,3,5,0.0,29.1,16.8,2,52.0,1012.4,2.0
2003,3,5,0.0,24.2,16.0,0,44.0,1011.1,6.5
2004,3,5,0.0,31.2,17.4,0,46.0,1010.0,5.0
2005,3,5,0.0,33.2,21.8,1,69.0,1014.1,3.0
2006,3,5,0.0,31.2,22.0,4,68.0,1011.6,3.2
2007,3,5,0.0,28.3,16.0,0,58.0,1012.6,2.3
2008,3,5,12.0,29.0,16.5,6,66.0,1011.8,5.0
2009,3,5,0.0,34.4,20.0,0,64.0,1005.5,3.5
2010,3,5,0.0,34.0,24.8,4,70.0,1006.9,3.5
2011,3,5,0.0,34.5,20.6,0,52.0,1008.6,2.0
2012,3,5,0.0,32.0,21.2,0,64.0,1005.8,2.1
2013,3,5,0.0,31.9,17.4,0,50.0,1013.6,2.0
2014,3,5,0.0,29.0,19.6,1,52.0,1013.9,2.7
2015,3,5,4.0,28.0,20.0,2,56.0,1013.7,4.0
2016,3,5,0.0,33.4,22.0,2,68.0,1010.8,2.0
2017,3,5,1.0,30.4,22.6,7,74.0,1007.1,2.0
1988,3,6,0.0,32.0,20.6,2,69.0,1011.2,2.0
1989,3,6,0.0,32.6,16.1,1,53.0,1010.0,2.0
1990,3,6,0.0,22.5,18.8,5,79.0,1013.9,2.0
1991,3,6,0.0,30.0,20.8,3,64.0,1009.0,2.0
1992,3,6,0.0,31.8,19.7,1,73.0,1010.5,5.8
1993,3,6,0.0,30.3,16.0,3,56.0,1015.1,2.0
1994,3,6,0.0,33.3,22.6,2,70.0,1008.9,2.7
1995,3,6,0.0,31.8,15.5,1,49.0,1011.6,1.0
1996,3,6,0.0,32.5,17.5,0,61.0,1011.4,2.0
1997,3,6,0.0,32.5,20.0,1,69.0,1014.4,2.0
1998,3,6,0.0,32.5,17.5,4,54.0,1010.2,1.7
1999,3,6,0.0,34.3,19.5,1,62.0,1004.5,1.0
2000,3,6,0.0,30.4,23.2,5,79.0,1009.4,2.3
2001,3,6,0.0,29.3,16.9,2,61.0,1013.2,3.0
2002,3,6,0.0,30.3,18.3,2,48.0,1012.9,2.5
2003,3,6,0.0,25.8,13.5,0,50.0,1013.0,3.3
2004,3,6,0.0,32.5,17.5,2,43.0,1010.7,3.0
2005,3,6,0.0,34.6,24.5,1,60.0,1013.6,6.0
2006,3,6,0.0,32.7,20.5,2,63.0,1011.7,3.0
2007,3,6,0.0,29.2,15.6,0,49.0,1010.6,5.5
2008,3,6,0.0,28.1,18.8,6,75.0,1012.4,1.8
2009,3,6,0.0,34.2,23.8,1,61.0,1007.7,3.5
2010,3,6,0.0,33.8,25.4,3,66.0,1009.1,3.0
2011,3,6,0.0,32.6,21.8,0,49.0,1010.8,2.0
2012,3,6,0.0,33.6,22.8,1,65.0,1004.0,2.0
2013,3,6,0.0,33.0,18.7,0,51.0,1013.2,2.0
2014,3,6,0.0,29.2,18.0,1,52.0,1014.0,2.0
2015,3,6,0.0,28.1,15.0,0,52.0,1014.1,2.5
2016,3,6,0.0,33.6,23.2,3,65.0,1011.3,2.0
2017,3,6,7.0,30.2,20.4,2,76.0,1008.4,0.0
1988,3,7,0.0,33.0,22.2,5,73.0,1013.2,2.0
1989,3,7,0.0,34.1,17.3,2,52.0,1011.9,2.0
1990,3,7,0.0,27.4,15.0,0,72.0,1015.1,7.0
1991,3,7,0.0,30.2,21.4,2,51.0,1011.3,5.0
1992,3,7,0.0,31.4,22.2,0,56.0,1010.9,6.5
1993,3,7,0.0,29.3,13.7,0,54.0,1014.2,4.0
1994,3,7,0.0,31.5,23.2,2,64.0,1009.7,3.0
1995,3,7,0.0,29.2,17.5,3,59.0,1014.7,2.8
1996,3,7,0.0,34.0,17.8,1,59.0,1011.1,2.7
1997,3,7,0.0,32.8,20.0,0,59.0,1013.9,2.0
1998,3,7,0.0,27.0,20.7,5,76.0,1007.8,2.0
1999,3,7,0.0,34.5,20.8,0,59.0,1003.4,2.0
2000,3,7,0.0,31.8,23.8,4,68.0,1010.2,2.4
2001,3,7,0.0,30.6,17.4,1,51.0,1013.4,4.0
2002,3,7,0.0,29.7,16.6,0,48.0,1013.2,3.7
2003,3,7,0.0,27.1,14.0,0,53.0,1012.3,4.0
2004,3,7,0.0,24.7,21.0,7,64.0,1015.1,2.7
2005,3,7,0.0,33.4,24.0,4,70.0,1014.4,6.0
2006,3,7,0.0,33.1,23.5,2,66.0,1011.9,4.0
2007,3,7,0.0,28.7,15.5,0,45.0,1009.5,4.5
2008,3,7,0.0,28.1,20.1,4,80.0,1012.1,8.0
2009,3,7,0.0,34.1,23.8,1,45.0,1008.1,2.3
2010,3,7,0.0,34.2,24.8,2,63.0,1010.0,2.5
2011,3,7,0.0,31.7,19.2,0,44.0,1010.1,2.1
2012,3,7,0.0,34.2,23.8,2,69.0,1002.4,2.8
2013,3,7,0.0,33.5,19.4,0,45.0,1013.2,4.0
2014,3,7,0.0,29.4,17.1,0,48.0,1014.9,4.7
2015,3,7,0.0,28.7,15.0,0,54.0,1013.7,2.5
2016,3,7,17.0,33.0,19.5,1,62.0,1010.6,5.0
2017,3,7,0.0,31.0,20.8,2,68.0,1009.0,2.0
1988,3,8,0.0,33,20.3,4,72.0,1013.7,2.0
1989,3,8,0.0,33.8,19.2,0,58.0,1011.4,3.0
1990,3,8,0.0,29.6,16.6,2,62.0,1014.5,5.0
1991,3,8,0.0,31,18.6,0,54.0,1013.2,2.0
1992,3,8,0.0,30.4,19.4,0,50.0,1012.8,4.2
1993,3,8,0.0,30.8,14.2,0,54.0,1013.4,2.3
1994,3,8,0.0,31,17.1,2,52.0,1010.7,2.0
1995,3,8,0.0,29.5,17.2,2,64.0,1013.5,4.0
1996,3,8,0.0,34,20.4,1,58.0,1009.9,3.7
1997,3,8,0.0,33.2,19.3,0,62.0,1012.7,0.0
1998,3,8,30.0,27,15.5,0,60.0,1010,2.0
1999,3,8,0.0,36.7,21.2,0,46.0,1002.3,2.0
2000,3,8,0.0,27.9,23.0,6,69.0,1008.3,4.3
2001,3,8,0.0,30.8,16.7,2,48.0,1011.4,1.0
2002,3,8,0.0,31.6,15.8,1,48.0,1014,0.0
2003,3,8,0.0,29.4,14.5,0,46.0,1012.2,2.3
2004,3,8,1.0,30.7,16.6,3,59.0,1017.1,4.5
2005,3,8,0.0,33.2,25.0,3,67.0,1015.5,5.0
2006,3,8,0.0,33.7,24.0,2,61.0,1013.1,3.0
2007,3,8,0.0,29,15.1,0,47.0,1011,4.0
2008,3,8,0.0,30.8,20.0,1,77.0,1010.8,6.0
2009,3,8,0.0,35,20.8,1,63.0,1009.5,4.0
2010,3,8,0.0,33.5,24.8,0,50.0,1011.7,2.0
2011,3,8,0.0,31.6,19.0,0,41.0,1007.9,2.5
2012,3,8,0.0,32.4,24.0,2,62.0,1004.6,2.5
2013,3,8,0.0,32.8,20.2,1,45.0,1011.7,2.3
2014,3,8,0.0,29.4,16.0,0,47.0,1015.8,2.0
2015,3,8,0.0,31.1,16.6,0,50.0,1014,2.0
2016,3,8,0.0,32.7,22.5,2,53.0,1009.3,2.0
2017,3,8,0.0,30.5,21.3,5,67.0,1008.3,2.0
1988,3,9,0.0,32.0,24.6,4,73.0,1013.9,2.0
1989,3,9,0.0,33.9,19.9,1,56.0,1012.1,4.0
1990,3,9,0.0,29.6,18.2,3,58.0,1015.3,5.0
1991,3,9,0.0,32.0,19.4,2,53.0,1011.4,2.3
1992,3,9,0.0,30.7,18.4,0,50.0,1012.6,4.4
1993,3,9,0.0,32.0,17.3,0,59.0,1012.7,3.0
1994,3,9,0.0,31.3,16.0,0,52.0,1012.8,3.0
1995,3,9,0.0,31.4,17.2,3,55.0,1012.8,3.0
1996,3,9,0.0,34.2,22.0,2,68.0,1010.7,2.0
1997,3,9,0.0,33.8,18.2,0,59.0,1011.4,1.5
1998,3,9,0.0,28.8,14.0,0,57.0,1009.8,1.7
1999,3,9,0.0,39.6,22.4,0,55.0,1002.5,2.0
2000,3,9,0.0,30.3,21.2,3,52.0,1007.9,3.0
2001,3,9,0.0,30.9,17.5,3,57.0,1011.6,1.0
2002,3,9,0.0,31.5,20.3,3,63.0,1014.0,2.5
2003,3,9,0.0,30.1,15.4,0,44.0,1014.0,7.0
2004,3,9,0.0,33.9,19.6,6,53.0,1014.6,3.3
2005,3,9,0.0,33.0,23.0,1,52.0,1013.7,3.8
2006,3,9,0.0,35.0,23.5,2,53.0,1012.6,4.0
2007,3,9,0.0,30.3,15.0,0,49.0,1012.3,6.0
2008,3,9,0.0,31.8,21.9,2,68.0,1011.0,2.5
2009,3,9,0.0,33.6,24.0,3,64.0,1010.6,3.5
2010,3,9,0.0,32.5,21.2,0,37.0,1013.7,3.2
2011,3,9,0.0,34.2,20.4,0,38.0,1009.6,3.0
2012,3,9,0.0,32.5,24.0,4,65.0,1005.9,2.0
2013,3,9,0.0,32.8,19.5,0,47.0,1009.9,3.0
2014,3,9,0.0,30.2,16.3,2,44.0,1014.5,2.0
2015,3,9,0.0,31.7,17.2,2,48.0,1014.5,2.0
2016,3,9,0.0,34.5,22.5,2,58.0,1009.0,2.0
2017,3,9,0.0,27.8,18.8,3,73.0,1007.3,2.0
1988,3,10,0.0,32.8,20.6,1,72.0,1013.1,2.0
1989,3,10,0.0,33.8,19.0,1,58.0,1011.9,9.0
1990,3,10,0.0,29.0,19.8,3,69.0,1016.4,3.5
1991,3,10,0.0,33.0,23.0,2,70.0,1009.2,3.8
1992,3,10,0.0,31.2,20.5,0,60.0,1012.2,3.3
1993,3,10,0.0,34.0,17.5,3,56.0,1012.5,2.0
1994,3,10,0.0,31.5,14.0,0,51.0,1011.5,3.2
1995,3,10,0.0,31.0,19.4,3,59.0,1013.5,2.5
1996,3,10,0.0,34.5,23.2,1,64.0,1009.6,2.0
1997,3,10,0.0,34.6,19.2,0,60.0,1012.0,2.0
1998,3,10,0.0,30.3,16.0,0,51.0,1009.6,2.0
1999,3,10,0.0,37.2,23.3,0,57.0,1004.8,2.0
2000,3,10,0.0,30.2,18.4,0,46.0,1009.0,2.5
2001,3,10,0.0,31.8,18.6,1,49.0,1011.8,3.0
2002,3,10,0.0,33.0,23.0,2,66.0,1013.0,3.2
2003,3,10,0.0,30.8,16.0,0,50.0,1012.3,3.5
2004,3,10,2.0,26.3,18.3,4,77.0,1014.4,4.5
2005,3,10,0.0,34.4,23.3,2,60.0,1011.5,4.0
2006,3,10,0.0,35.2,23.7,3,49.0,1011.4,4.0
2007,3,10,0.0,32.0,16.3,1,49.0,1012.7,2.0
2008,3,10,0.0,31.5,22.6,5,68.0,1010.9,4.5
2009,3,10,0.0,32.5,26.0,7,51.0,1011.4,2.5
2010,3,10,0.0,32.0,20.8,0,38.0,1013.8,4.0
2011,3,10,0.0,32.1,21.6,6,52.0,1010.0,2.0
2012,3,10,0.0,32.2,23.0,2,65.0,1008.5,0.0
2013,3,10,0.0,33.6,19.2,1,43.0,1009.7,2.7
2014,3,10,0.0,29.7,16.6,4,45.0,1014.0,2.8
2015,3,10,0.0,32.3,19.3,2,45.0,1013.9,2.0
2016,3,10,0.0,34.4,25.0,3,60.0,1010.8,2.0
2017,3,10,0.0,32.0,20.7,6,80.0,1006.6,2.3
1988,3,11,0.0,33.8,23.9,4,69.0,1012.6,5.5
1989,3,11,0.0,31.2,20.8,5,68.0,1011.8,6.0
1990,3,11,0.0,29.9,19.2,7,66.0,1015.0,5.0
1991,3,11,0.0,31.8,23.0,2,62.0,1008.7,7.0
1992,3,11,0.0,32.2,22.0,0,63.0,1013.2,5.0
1993,3,11,0.0,33.8,21.0,1,59.0,1011.7,2.7
1994,3,11,0.0,32.2,16.5,0,53.0,1009.7,4.0
1995,3,11,0.0,29.4,16.3,4,74.0,1013.7,2.0
1996,3,11,0.0,34.5,22.5,2,69.0,1008.9,2.2
1997,3,11,0.0,35.2,23.0,2,69.0,1012.2,1.5
1998,3,11,0.0,32.0,19.8,2,73.0,1011.0,1.0
1999,3,11,0.0,35.2,24.7,2,69.0,1004.1,2.3
2000,3,11,0.0,30.6,18.0,2,59.0,1008.8,2.6
2001,3,11,0.0,32.6,16.6,0,47.0,1012.5,3.0
2002,3,11,0.0,33.0,22.7,5,68.0,1011.8,3.0
2003,3,11,0.0,28.0,20.5,6,74.0,1012.0,3.0
2004,3,11,6.0,29.0,17.8,0,70.0,1012.7,2.5
2005,3,11,0.0,29.7,21.4,6,72.0,1011.8,6.0
2006,3,11,0.0,26.4,22.5,7,70.0,1011.1,15.0
2007,3,11,0.0,33.3,20.7,0,58.0,1012.2,2.0
2008,3,11,0.0,31.5,22.5,7,70.0,1010.0,2.0
2009,3,11,0.0,33.1,18.7,3,37.0,1009.9,3.0
2010,3,11,0.0,32.8,19.8,1,39.0,1015.1,4.0
2011,3,11,0.0,32.0,24.2,7,61.0,1009.5,2.5
2012,3,11,0.0,33.5,20.0,0,39.0,1011.1,2.5
2013,3,11,0.0,32.0,22.3,2,68.0,1009.6,2.0
2014,3,11,0.0,31.0,18.8,0,45.0,1014.2,2.0
2015,3,11,0.0,31.1,19.0,0,41.0,1015.2,3.0
2016,3,11,0.0,34.5,25.0,2,60.0,1010.6,2.8
2017,3,11,38.0,26.8,19.6,8,89.0,1007.7,1.0
1988,3,12,12.0,29.0,19.7,4,76.0,1009.7,2.0
1989,3,12,0.0,30.0,19.6,2,63.0,1011.5,3.5
1990,3,12,0.0,25.6,22.5,6,79.0,1013.4,6.3
1991,3,12,0.0,33.0,23.2,2,73.0,1009.1,5.3
1992,3,12,0.0,32.2,23.0,3,75.0,1013.7,3.8
1993,3,12,0.0,33.9,20.0,1,57.0,1010.0,3.5
1994,3,12,0.0,32.8,16.5,0,58.0,1009.0,4.0
1995,3,12,0.0,32.0,16.5,2,60.0,1012.1,2.5
1996,3,12,0.0,34.6,23.5,2,70.0,1008.1,4.2
1997,3,12,0.0,33.6,22.3,1,68.0,1009.9,2.5
1998,3,12,0.0,32.3,22.7,4,64.0,1012.1,5.0
1999,3,12,0.0,33.8,25.8,4,75.0,1004.7,1.7
2000,3,12,0.0,31.8,22.8,7,77.0,1007.1,3.1
2001,3,12,0.0,33.2,17.3,0,43.0,1011.1,2.0
2002,3,12,0.0,32.5,22.9,2,48.0,1012.6,4.0
2003,3,12,0.0,25.7,18.0,8,84.0,1015.4,6.0
2004,3,12,0.0,31.2,18.2,0,64.0,1012.9,3.0
2005,3,12,0.0,26.5,21.6,7,75.0,1012.9,2.0
2006,3,12,0.0,30.1,19.0,1,57.0,1008.7,4.7
2007,3,12,0.0,33.6,23.0,5,58.0,1013.8,6.3
2008,3,12,0.0,32.9,22.0,5,63.0,1009.0,3.5
2009,3,12,0.0,32.8,23.0,0,35.0,1010.0,7.2
2010,3,12,0.0,33.5,18.4,0,45.0,1013.6,2.0
2011,3,12,0.0,31.2,20.8,1,60.0,1010.1,3.0
2012,3,12,0.0,33.8,20.0,0,40.0,1012.3,2.0
2013,3,12,0.0,31.7,23.4,4,70.0,1009.8,2.0
2014,3,12,0.0,32.2,18.2,1,47.0,1013.6,2.0
2015,3,12,0.0,31.0,15.9,0,43.0,1013.8,2.0
2016,3,12,0.0,34.2,24.6,3,55.0,1009.2,2.5
2017,3,12,9.0,29.0,20.4,4,66.0,1009.3,3.0
1988,3,13,0.0,31.7,21.7,5,74.0,1005.2,6.8
1989,3,13,0.0,32.5,17.8,2,64.0,1010.9,2.0
1990,3,13,4.0,26.7,16.0,5,79.0,1013.3,3.5
1991,3,13,0.0,31.6,20.0,3,78.0,1010.7,3.5
1992,3,13,0.0,31.5,23.2,2,79.0,1012.8,4.3
1993,3,13,0.0,34.4,21.5,2,63.0,1008.0,6.2
1994,3,13,0.0,33.4,23.0,4,66.0,1008.9,2.5
1995,3,13,0.0,32,16.0,3,51.0,1012.3,2.0
1996,3,13,0.0,36.3,24.4,1,64.0,1004.1,4.8
1997,3,13,0.0,34.2,24.0,2,73.0,1008.8,2.2
1998,3,13,0.0,30.3,20.0,5,66.0,1011.9,2.0
1999,3,13,0.0,34.7,25.1,3,52.0,1006.4,2.0
2000,3,13,54.0,30.3,18.5,8,86.0,1006.8,3.5
2001,3,13,0.0,33,17.2,1,43.0,1010.4,4.0
2002,3,13,0.0,31.7,18.5,5,47.0,1012.7,4.0
2003,3,13,9.0,27.5,17.9,4,72.0,1015.5,3.5
2004,3,13,0.0,34,21.0,1,57.0,1012.9,4.0
2005,3,13,0.0,32.4,20.5,3,60.0,1012.0,4.0
2006,3,13,0.0,31.6,20.2,6,58.0,1010.1,2.0
2007,3,13,0.0,32.2,21.6,3,55.0,1012.5,4.0
2008,3,13,0.0,32.2,23.0,3,63.0,1009.3,4.0
2009,3,13,0.0,33,18.5,0,37.0,1013.5,4.0
2010,3,13,0.0,32.7,20.2,3,40.0,1010.9,2.0
2011,3,13,0.0,32.9,21.7,1,55.0,1010.1,1.5
2012,3,13,0.0,32.8,19.8,2,44.0,1012.1,5.0
2013,3,13,0.0,33.4,24.8,5,74.0,1010.7,2.0
2014,3,13,0.0,33.2,21.6,2,52.0,1012.5,2.0
2015,3,13,0.0,31.3,17.3,0,52.0,1013.0,2.5
2016,3,13,0.0,31.2,24.4,2,55.0,1012.4,4.0
2017,3,13,0.0,29.5,17.4,0,42.0,1012.7,2.0
1988,3,14,0.0,28.5,20.8,4,81.0,1006.7,5.0
1989,3,14,0.0,31.6,20.5,2,60.0,1010.9,3.5
1990,3,14,0.0,28.6,18.0,1,66.0,1014.2,3.5
1991,3,14,14.0,31.7,20.4,1,68.0,1011.5,5.0
1992,3,14,0.0,34.0,22.9,1,57.0,1010.9,4.5
1993,3,14,0.0,33.8,23.0,4,72.0,1006.4,6.0
1994,3,14,0.0,32.4,22.8,3,70.0,1009.4,2.5
1995,3,14,0.0,31.9,14.5,3,51.0,1012.7,2.5
1996,3,14,0.0,36.2,24.2,2,62.0,1005.9,2.8
1997,3,14,0.0,31.5,23.9,6,75.0,1008.0,2.3
1998,3,14,1.0,31.4,20.5,3,72.0,1010.9,4.0
1999,3,14,0.0,33.2,18.9,1,42.0,1008.7,1.5
2000,3,14,107.0,27.5,17.4,5,81.0,1008.6,2.0
2001,3,14,0.0,33.3,20.0,1,44.0,1011.5,2.0
2002,3,14,0.0,33.0,19.7,4,44.0,1011.9,3.2
2003,3,14,0.0,29.0,19.8,5,78.0,1014.1,3.7
2004,3,14,0.0,34.0,23.5,1,61.0,1011.1,3.5
2005,3,14,0.0,33.1,21.3,3,46.0,1010.3,5.0
2006,3,14,0.0,32.5,20.2,1,54.0,1011.4,3.0
2007,3,14,0.0,29.4,21.7,3,61.0,1011.8,9.0
2008,3,14,0.0,31.5,24.1,6,59.0,1009.7,3.5
2009,3,14,0.0,34.9,20.6,0,42.0,1010.5,3.3
2010,3,14,0.0,34.7,22.6,2,72.0,1009.1,4.0
2011,3,14,0.0,33.5,21.8,3,55.0,1009.4,3.0
2012,3,14,0.0,31.0,20.8,2,55.0,1011.0,2.7
2013,3,14,8.0,34.1,23.0,4,66.0,1011.5,2.0
2014,3,14,0.0,32.5,20.7,2,45.0,1013.2,2.0
2015,3,14,0.0,33.6,19.2,1,46.0,1013.7,3.0
2016,3,14,0.0,31.6,21.0,6,50.0,1012.7,2.0
2017,3,14,0.0,29.5,16.0,0,48.0,1012.9,2.0
1988,3,15,6.0,31,19.6,0,61.0,1010.0,5.5
1989,3,15,0.0,33.8,20.4,1,57.0,1010.1,2.0
1990,3,15,0.0,29.8,18.3,1,63.0,1015.3,2.0
1991,3,15,0.0,32.4,23.0,3,71.0,1010.8,2.0
1992,3,15,0.0,33.1,22.8,2,75.0,1008.1,4.3
1993,3,15,1.0,34.6,22.6,0,60.0,1006.1,2.0
1994,3,15,0.0,34,24.0,4,71.0,1008.6,3.2
1995,3,15,0.0,33.2,16.0,2,49.0,1013.5,4.0
1996,3,15,0.0,35.6,24.3,3,70.0,1006.1,3.8
1997,3,15,1.0,34,20.0,2,69.0,1009.3,3.0
1998,3,15,0.0,31,18.7,2,55.0,1014.0,2.0
1999,3,15,0.0,34.3,16.5,0,45.0,1008.0,2.0
2000,3,15,9.0,30.2,19.0,1,67.0,1008.8,1.3
2001,3,15,0.0,33.7,20.0,1,60.0,1011.8,5.5
2002,3,15,0.0,32.8,20.5,3,41.0,1011.6,4.0
2003,3,15,13.0,29.3,18.2,4,74.0,1010.9,4.0
2004,3,15,0.0,34.5,22.3,0,59.0,1009.8,2.0
2005,3,15,0.0,32.5,21.0,2,49.0,1010.1,4.0
2006,3,15,0.0,33.5,22.0,4,57.0,1010.8,3.0
2007,3,15,0.0,29.8,19.4,1,58.0,1009.8,3.3
